	correct_choice	correct_image	response_letter	correct	response_time	respondent
0	C	1	C	TRUE	4226	0
1	A	2	A	TRUE	3081	0
2	D	3	D	TRUE	2087	0
3	B	4	B	TRUE	1673	0
4	B	5	B	TRUE	3188	0
5	C	6	C	TRUE	5857	0
6	D	7	D	TRUE	4937	0
7	B	8	B	TRUE	1925	0
8	C	9	C	TRUE	2107	0
9	C	10	C	TRUE	4614	0
10	A	11	A	TRUE	1782	0
11	A	12	A	TRUE	3999	0
12	B	13	B	TRUE	3424	0
13	A	14	A	TRUE	2234	0
14	D	15	D	TRUE	2128	0
15	D	16	D	TRUE	2396	0
16	A	17	A	TRUE	4459	0
17	A	18	A	TRUE	3232	0
0	C	1	C	TRUE	4051	1
1	A	2	A	TRUE	3124	1
2	D	3	B	FALSE	3231	1
3	D	4	D	TRUE	4019	1
4	A	5	B	FALSE	1971	1
5	D	6	C	FALSE	1913	1
6	D	7	D	TRUE	5244	1
7	B	8	B	TRUE	5922	1
8	A	9	D	FALSE	8225	1
9	D	10	C	FALSE	8001	1
10	B	11	B	TRUE	2106	1
11	C	12	C	TRUE	1581	1
12	A	13	A	TRUE	1663	1
13	D	14	D	TRUE	3433	1
14	D	15	D	TRUE	3897	1
15	B	16	A	FALSE	5709	1
16	A	17	C	FALSE	6116	1
17	B	18	C	FALSE	2725	1
0	B	1	A	FALSE	7601	2
1	B	2	B	TRUE	3865	2
2	C	3	C	TRUE	4412	2
3	D	4	D	TRUE	3332	2
4	A	5	B	FALSE	3429	2
5	A	6	A	TRUE	3283	2
6	A	7	A	TRUE	3467	2
7	B	8	B	TRUE	3212	2
8	D	9	D	TRUE	3117	2
9	B	10	C	FALSE	3847	2
10	A	11	A	TRUE	4997	2
11	B	12	B	TRUE	2964	2
12	B	13	B	TRUE	3798	2
13	C	14	C	TRUE	3148	2
14	A	15	A	TRUE	2798	2
15	C	16	C	TRUE	5899	2
16	C	17	A	FALSE	4231	2
17	B	18	B	TRUE	3680	2
0	A	1	A	TRUE	7849	3
1	B	2	B	TRUE	4658	3
2	D	3	D	TRUE	3110	3
3	D	4	D	TRUE	2360	3
4	B	5	B	TRUE	3093	3
5	A	6	A	TRUE	1511	3
6	C	7	B	FALSE	7010	3
7	B	8	B	TRUE	1658	3
8	C	9	C	TRUE	7409	3
9	D	10	D	TRUE	2712	3
10	D	11	D	TRUE	5729	3
11	C	12	C	TRUE	5278	3
12	B	13	B	TRUE	9711	3
13	C	14	C	TRUE	4394	3
14	B	15	B	TRUE	1942	3
15	C	16	C	TRUE	4143	3
16	B	17	B	TRUE	7658	3
17	C	18	C	TRUE	2276	3
0	A	1	A	TRUE	3922	4
1	D	2	D	TRUE	2742	4
2	A	3	A	TRUE	4421	4
3	C	4	C	TRUE	2692	4
4	C	5	C	TRUE	3567	4
5	B	6	B	TRUE	1518	4
6	C	7	C	TRUE	1548	4
7	D	8	D	TRUE	2528	4
8	C	9	A	FALSE	3968	4
9	C	10	C	TRUE	1873	4
10	A	11	A	TRUE	1730	4
11	D	12	D	TRUE	3168	4
12	D	13	D	TRUE	3192	4
13	A	14	A	TRUE	2423	4
14	A	15	A	TRUE	2167	4
15	C	16	C	TRUE	2529	4
16	A	17	D	FALSE	2486	4
17	A	18	A	TRUE	2728	4
0	C	1	C	TRUE	7333	5
1	C	2	C	TRUE	5003	5
2	A	3	A	TRUE	2541	5
3	A	4	A	TRUE	3217	5
4	A	5	A	TRUE	2239	5
5	B	6	B	TRUE	2925	5
6	C	7	C	TRUE	2357	5
7	A	8	A	TRUE	3530	5
8	D	9	D	TRUE	2694	5
9	A	10	B	FALSE	5013	5
10	C	11	C	TRUE	3389	5
11	B	12	B	TRUE	1711	5
12	A	13	A	TRUE	5108	5
13	D	14	D	TRUE	2604	5
14	D	15	D	TRUE	2162	5
15	A	16	B	FALSE	5544	5
16	C	17	C	TRUE	5103	5
17	C	18	C	TRUE	6443	5
0	C	1	C	TRUE	3514	6
1	D	2	D	TRUE	4947	6
2	A	3	A	TRUE	2084	6
3	D	4	D	TRUE	1682	6
4	A	5	A	TRUE	1855	6
5	C	6	C	TRUE	1671	6
6	B	7	B	TRUE	2975	6
7	A	8	A	TRUE	2343	6
8	A	9	A	TRUE	2694	6
9	A	10	D	FALSE	3086	6
10	C	11	C	TRUE	1539	6
11	B	12	C	FALSE	1666	6
12	A	13	A	TRUE	3667	6
13	B	14	A	FALSE	1767	6
14	A	15	A	TRUE	1871	6
15	C	16	B	FALSE	3110	6
16	C	17	C	TRUE	3022	6
17	C	18	D	FALSE	4071	6
0	C	1	C	TRUE	7832	7
1	B	2	B	TRUE	5027	7
2	B	3	B	TRUE	4280	7
3	D	4	D	TRUE	3411	7
4	D	5	D	TRUE	4417	7
5	A	6	D	FALSE	4879	7
6	A	7	A	TRUE	3394	7
7	A	8	D	FALSE	4946	7
8	D	9	D	TRUE	2011	7
9	A	10	A	TRUE	2394	7
10	A	11	A	TRUE	7913	7
11	B	12	A	FALSE	4011	7
12	C	13	A	FALSE	3409	7
13	A	14	D	FALSE	5166	7
14	B	15	B	TRUE	2958	7
15	D	16	C	FALSE	4815	7
16	A	17	B	FALSE	5075	7
17	B	18	D	FALSE	2065	7
